s,ts_utc,begins,completed,success,unexpected,drops,in_ckpt_local,bin_present
1790147562,2026-09-23T07:12:42+00:00,2000,2005,1965,0,0,False,True
1790147563,2026-09-23T07:12:43+00:00,2000,2004,1965,0,0,False,True
1790147564,2026-09-23T07:12:44+00:00,2000,1996,1958,0,0,False,True
1790147565,2026-09-23T07:12:45+00:00,2000,1999,1958,0,0,False,True
1790147566,2026-09-23T07:12:46+00:00,1999,1992,1951,0,0,False,True
1790147567,2026-09-23T07:12:47+00:00,2001,2013,1975,0,0,False,True
1790147568,2026-09-23T07:12:48+00:00,2000,1997,1966,0,0,False,True
1790147569,2026-09-23T07:12:49+00:00,2000,2002,1967,0,0,False,True
1790147570,2026-09-23T07:12:50+00:00,1999,1998,1969,0,0,False,True
1790147571,2026-09-23T07:12:51+00:00,2000,2001,1961,0,0,False,True
1790147572,2026-09-23T07:12:52+00:00,1999,1999,1958,0,0,False,True
1790147573,2026-09-23T07:12:53+00:00,2001,2004,1958,0,0,False,True
1790147574,2026-09-23T07:12:54+00:00,2001,1996,1956,0,0,False,True
1790147575,2026-09-23T07:12:55+00:00,2000,2004,1964,0,0,False,True
1790147576,2026-09-23T07:12:56+00:00,2000,1990,1950,0,0,False,True
1790147577,2026-09-23T07:12:57+00:00,1999,2001,1962,0,0,False,True
1790147578,2026-09-23T07:12:58+00:00,2001,2009,1977,0,0,False,True
1790147579,2026-09-23T07:12:59+00:00,2000,1994,1960,0,0,False,True
1790147580,2026-09-23T07:13:00+00:00,1999,2002,1966,0,0,False,True
1790147581,2026-09-23T07:13:01+00:00,2000,1995,1943,0,0,False,True
1790147582,2026-09-23T07:13:02+00:00,2001,2005,1967,0,0,False,True
1790147583,2026-09-23T07:13:03+00:00,2000,2001,1962,0,0,False,True
1790147584,2026-09-23T07:13:04+00:00,2000,1998,1955,0,0,False,True
1790147585,2026-09-23T07:13:05+00:00,1999,2001,1961,0,0,False,True
1790147586,2026-09-23T07:13:06+00:00,2001,1999,1954,0,0,False,True
1790147587,2026-09-23T07:13:07+00:00,2000,1995,1955,0,0,False,True
1790147588,2026-09-23T07:13:08+00:00,2000,2005,1961,0,0,False,True
1790147589,2026-09-23T07:13:09+00:00,2000,2003,1961,0,0,False,True
1790147590,2026-09-23T07:13:10+00:00,2000,2000,1964,0,0,False,True
1790147591,2026-09-23T07:13:11+00:00,2000,1997,1955,0,0,False,True
1790147592,2026-09-23T07:13:12+00:00,2000,1970,1928,0,0,False,True
1790147593,2026-09-23T07:13:13+00:00,1999,2033,1993,0,0,False,True
1790147594,2026-09-23T07:13:14+00:00,2001,2000,1955,0,0,False,True
1790147595,2026-09-23T07:13:15+00:00,2000,1998,1960,0,0,False,True
1790147596,2026-09-23T07:13:16+00:00,2000,2001,1963,0,0,False,True
1790147597,2026-09-23T07:13:17+00:00,2000,1995,1949,0,0,False,True
1790147598,2026-09-23T07:13:18+00:00,2000,2009,1962,0,0,False,True
1790147599,2026-09-23T07:13:19+00:00,2000,1997,1948,0,0,False,True
1790147600,2026-09-23T07:13:20+00:00,1999,1998,1958,0,0,False,True
1790147601,2026-09-23T07:13:21+00:00,2001,2006,1963,0,0,False,True
1790147602,2026-09-23T07:13:22+00:00,2000,1996,1963,0,0,False,True
1790147603,2026-09-23T07:13:23+00:00,2000,1999,1957,0,0,False,True
1790147604,2026-09-23T07:13:24+00:00,2000,1994,1949,0,0,False,True
1790147605,2026-09-23T07:13:25+00:00,2000,1992,1941,0,0,True,True
1790147606,2026-09-23T07:13:26+00:00,1999,2009,1970,0,0,True,True
1790147607,2026-09-23T07:13:27+00:00,2001,2006,1963,0,0,True,True
1790147608,2026-09-23T07:13:28+00:00,2000,2000,1963,0,0,True,True
1790147609,2026-09-23T07:13:29+00:00,2000,2002,1962,0,0,True,True
1790147610,2026-09-23T07:13:30+00:00,1999,1996,1947,0,0,True,True
1790147611,2026-09-23T07:13:31+00:00,2001,1998,1949,0,0,True,True
1790147612,2026-09-23T07:13:32+00:00,2000,2002,1961,0,0,True,True
1790147613,2026-09-23T07:13:33+00:00,1999,2000,1965,0,0,True,True
1790147614,2026-09-23T07:13:34+00:00,2001,1991,1948,0,0,True,True
1790147615,2026-09-23T07:13:35+00:00,2000,2006,1968,0,0,True,True
1790147616,2026-09-23T07:13:36+00:00,2000,1982,1924,0,0,True,True
1790147617,2026-09-23T07:13:37+00:00,2000,1996,1940,0,0,True,True
1790147618,2026-09-23T07:13:38+00:00,2000,2031,1981,0,0,True,True
1790147619,2026-09-23T07:13:39+00:00,2000,1997,1944,0,0,True,True
1790147620,2026-09-23T07:13:40+00:00,2000,1996,1940,0,0,True,True
1790147621,2026-09-23T07:13:41+00:00,1998,2001,1949,0,0,True,True
1790147622,2026-09-23T07:13:42+00:00,2002,2002,1948,0,0,True,True
1790147623,2026-09-23T07:13:43+00:00,2000,2002,1956,0,0,True,True
1790147624,2026-09-23T07:13:44+00:00,2000,1983,1930,0,0,True,True
1790147625,2026-09-23T07:13:45+00:00,2000,2013,1956,0,0,True,True
1790147626,2026-09-23T07:13:46+00:00,2000,1999,1948,0,0,True,True
1790147627,2026-09-23T07:13:47+00:00,2000,2009,1955,0,0,True,True
1790147628,2026-09-23T07:13:48+00:00,1999,1994,1958,0,0,True,True
1790147629,2026-09-23T07:13:49+00:00,2001,1995,1945,0,0,True,True
1790147630,2026-09-23T07:13:50+00:00,2000,2007,1968,0,0,True,True
1790147631,2026-09-23T07:13:51+00:00,2000,1993,1940,0,0,True,True
1790147632,2026-09-23T07:13:52+00:00,2000,2003,1951,0,0,True,True
1790147633,2026-09-23T07:13:53+00:00,2000,1971,1939,0,0,True,True
